epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6008,1.03652,2.5043,1.26933,0.98669,0.9,0.98591,0.43659,1.99556,2.87812,1.59785,0.00012,0.00012,0.00012
2,86.9523,0.8969,1.50382,1.11127,0.93668,1,0.995,0.77836,0.80173,1.43752,0.97149,0.00023426,0.00023426,0.00023426
3,128.177,0.81509,1.07082,1.08978,0.99026,1,0.995,0.81572,0.73423,0.91998,0.93014,0.0003208,0.0003208,0.0003208
4,169.33,0.83437,0.91802,1.11082,0.99394,1,0.995,0.83382,0.75942,0.79935,1.02186,0.00037962,0.00037962,0.00037962
5,210.511,0.75662,0.79243,1.06328,0.98669,1,0.995,0.67113,1.09146,1.21296,1.11238,0.00041072,0.00041072,0.00041072
6,251.58,0.83146,0.71143,1.02364,0.98167,1,0.995,0.84156,0.58803,0.74684,0.84867,0.0004141,0.0004141,0.0004141
7,292.555,0.79943,0.65833,1.03421,0.89059,1,0.98591,0.76068,0.89647,0.80681,1.11525,0.00038976,0.00038976,0.00038976
8,334.793,0.77932,0.62784,1.05916,0.95645,0.9,0.97833,0.75544,0.78108,0.9347,0.96852,0.0003377,0.0003377,0.0003377
9,376.388,0.72254,0.55654,0.98476,0.98152,1,0.995,0.80594,0.73204,0.64556,1.03134,0.00025792,0.00025792,0.00025792
10,417.522,0.69672,0.53035,0.998,0.98688,1,0.995,0.79906,0.72868,0.56798,0.929,0.00015042,0.00015042,0.00015042
